"","Montagnard","Travailler","Habiter","Altitude"
"554","Oui","2","Oui",579
"555","Oui","0","Non",14
"557","Oui","0","Non",109
"558","Oui","0","Non",130
"559","Non","1","Non",130
"561","Oui","0","Non",130
"562","Oui","0","Non",102
"566","Oui","0","Non",148
"567","Oui","1","Non",148
"568","Oui","0","Non",148
"569","Oui","0","Non",148
"570","Oui","0","Non",148
"572","Oui","0","Non",148
"573","Oui","0","Non",148
"574","Oui","0","Non",148
"575","Oui","0","Non",148
"576","Oui","0","Non",148
"577","Oui","0","Non",148
"578","Oui","0","Non",148
"579","Oui","0","Non",148
"581","Oui","0","Non",148
"584","Oui","0","Non",148
"586","Non","0","Non",148
"588","Oui","0","Non",148
"589","Oui","0","Non",148
"591","Oui","0","Non",148
"592","Oui","0","Non",148
"593","Oui","0","Non",148
"594","Oui","0","Non",148
"595","Oui","2","Oui",1559
"596","Oui","2","Oui",1559
"597","Oui","2","Oui",1559
"598","Oui","1","Oui",1559
"599","Oui","2","Oui",1559
"600","Oui","2","Oui",1559
"601","Oui","2","Oui",1559
"602","Oui","0","Oui",1559
"603","Oui","0","Non",154
"604","Oui","0","Non",164
"607","Oui","0","Non",164
"608","Oui","2","Oui",589
"610","Oui","0","Non",164
"611","Oui","0","Non",164
"612","Oui","0","Non",182
"613","Non","0","Non",182
"614","Oui","0","Non",182
"615","Non","0","Non",211
"616","Oui","0","Non",211
"618","Non","0","Non",148
"619","Oui","1","Non",148
"620","Oui","1","Non",148
"622","Oui","0","Non",148
"623","Oui","0","Non",148
"624","Oui","1","Non",247
"625","Non","0","Non",151
"626","Oui","0","Oui",327
"627","Oui","0","Non",164
"628","Non","0","Non",164
"629","Oui","0","Non",205
"630","Oui","0","Non",148
"631","Non","0","Non",148
"632","Oui","0","Non",148
"633","Oui","0","Non",148
"634","Oui","0","Non",148
"636","Non","0","Non",148
"637","Oui","0","Non",148
"638","Non","0","Non",148
"639","Oui","0","Non",148
"640","Oui","0","Non",148
"641","Oui","0","Non",180
"642","Non","0","Non",180
"643","Oui","0","Non",180
"644","Oui","2","Oui",306
"646","Oui","0","Non",306
"647","Non","0","Non",196
"649","Oui","0","Non",223
"651","Non","0","Non",148
"652","Oui","0","Non",148
"654","Oui","0","Non",148
"655","Oui","0","Non",148
"656","Oui","0","Non",148
"657","Oui","0","Non",148
"658","Oui","0","Non",148
"659","Oui","2","Non",148
"661","Oui","0","Non",148
"662","Oui","0","Non",148
"663","Oui","0","Non",148
"664","Oui","0","Non",148
"666","Oui","0","Non",199
"668","Oui","1","Oui",966
"669","Oui","0","Non",192
"671","Non","0","Non",187
"672","Oui","0","Non",187
"673","Oui","0","Non",196
"674","Oui","1","Non",196
"675","Oui","0","Non",196
"676","Oui","1","Non",148
"677","Oui","0","Non",148
"678","Oui","0","Non",148
"679","Oui","0","Non",148
"680","Oui","0","Non",148
"683","Non","0","Non",148
"684","Oui","0","Non",148
"686","Oui","0","Non",148
"687","Oui","0","Non",148
"688","Oui","0","Non",148
"690","Oui","0","Non",148
"692","Oui","2","Oui",560
"693","Oui","0","Non",180
"694","Non","0","Non",180
"696","Oui","2","Oui",534
"697","Oui","0","Non",200
"698","Oui","0","Non",189
"699","Non","0","Non",189
"700","Non","0","Non",189
"701","Oui","0","Non",189
"702","Oui","1","Non",189
"703","Oui","0","Non",189
"704","Non","0","Non",136
"705","Non","0","Non",166
"706","Oui","0","Non",166
"707","Oui","0","Non",142
"708","Non","0","Non",142
"709","Oui","0","Non",142
"710","Oui","0","Non",172
"711","Oui","0","Non",172
"712","Oui","0","Oui",211
"713","Oui","0","Non",187
"714","Non","0","Non",173
"715","Non","0","Non",173
"716","Oui","0","Non",146
"717","Oui","0","Non",163
"718","Oui","0","Non",163
"719","Non","0","Non",163
"720","Oui","0","Non",163
"723","Oui","0","Non",185
"724","Oui","1","Non",185
"725","Oui","0","Non",136
"726","Oui","0","Non",181
"727","Oui","0","Non",9
"728","Oui","0","Non",9
"729","Oui","0","Non",9
"733","Oui","0","Non",9
"734","Non","0","Non",9
"735","Non","0","Non",9
"737","Oui","1","Non",9
"738","Oui","0","Non",9
"739","Oui","0","Non",9
"740","Oui","0","Non",9
"741","Non","0","Non",9
"743","Oui","0","Non",15
"744","Oui","0","Non",14
"746","Oui","0","Non",7
"747","Oui","0","Non",14
"748","Oui","0","Non",14
"749","Oui","0","Oui",14
"751","Oui","0","Non",38
"752","Oui","0","Non",38
"753","Non","0","Non",32
"754","Oui","0","Non",35
"755","Oui","0","Non",57
"756","Oui","0","Non",9
"757","Oui","0","Non",9
"758","Oui","0","Non",49
"759","Oui","0","Non",26
"761","Oui","0","Non",13
"762","Oui","0","Non",24
"763","Oui","0","Non",24
"764","Oui","0","Non",59
"765","Oui","0","Non",59
"766","Oui","0","Non",21
"767","Oui","0","Non",21
"768","Oui","0","Non",21
"769","Oui","0","Non",7
"770","Oui","0","Non",32
"772","Oui","0","Non",45
"773","Oui","0","Non",20
"774","Oui","0","Non",42
"775","Oui","0","Non",42
"776","Oui","0","Non",42
"779","Oui","0","Non",9
"780","Non","0","Non",9
"782","Oui","0","Non",45
"783","Oui","0","Non",45
"784","Oui","0","Non",45
"785","Oui","0","Non",45
"786","Oui","0","Non",45
"787","Oui","0","Non",45
"788","Non","0","Non",45
"789","Non","0","Non",45
"790","Non","0","Non",45
"791","Oui","0","Non",45
"792","Oui","0","Non",45
"793","Oui","0","Non",45
"794","Oui","0","Non",45
"795","Non","0","Non",45
"796","Oui","0","Non",45
"797","Oui","0","Non",45
"798","Oui","0","Non",45
"799","Oui","0","Non",45
"800","Oui","0","Non",45
"801","Oui","0","Non",45
"802","Oui","1","Non",45
"803","Oui","0","Non",45
"804","Oui","0","Non",45
"806","Oui","0","Non",29
"807","Oui","0","Non",29
"808","Non","0","Non",5
"809","Non","0","Non",5
"810","Oui","0","Non",115
"811","Oui","0","Non",115
"812","Oui","0","Non",115
"814","Oui","0","Non",50
"815","Oui","0","Non",50
"816","Oui","0","Non",260
"817","Oui","0","Non",516
"818","Oui","1","Non",43
"820","Oui","0","Non",137
"821","Oui","0","Non",137
"823","Oui","0","Non",2
"825","Oui","0","Non",266
"826","Oui","0","Oui",396
"827","Oui","1","Oui",396
"828","Oui","0","Non",12
"829","Non","0","Non",6
"830","Oui","0","Non",3
"831","Oui","0","Non",45
"832","Oui","0","Non",45
"833","Oui","0","Non",85
"834","Oui","0","Non",296
"836","Oui","2","Non",102
"837","Oui","1","Non",78
"838","Non","0","Non",78
"839","Non","0","Non",106
"840","Oui","0","Non",153
"841","Oui","0","Non",153
"842","Oui","0","Non",71
"843","Oui","0","Non",7
"844","Oui","0","Non",131
"846","Oui","0","Non",38
"847","Oui","0","Non",38
"848","Oui","0","Non",38
"849","Oui","0","Non",38
"850","Non","0","Non",38
"851","Oui","0","Non",74
"852","Non","0","Non",29
"853","Oui","1","Non",38
"854","Oui","0","Non",38
"855","Non","0","Non",109
"856","Oui","0","Non",81
"857","Non","0","Non",108
"858","Non","0","Non",51
"859","Oui","0","Non",61
"862","Oui","0","Non",45
"863","Oui","1","Oui",31
"864","Non","0","Non",152
"865","Oui","0","Non",152
"866","Oui","0","Non",152
"868","Non","0","Non",164
"869","Oui","1","Non",113
"870","Non","0","Non",71
"871","Oui","0","Non",106
"872","Oui","0","Non",71
"873","Oui","0","Non",95
"874","Oui","0","Non",95
"875","Oui","0","Non",67
"876","Oui","0","Non",67
"877","Non","1","Non",119
"878","Oui","0","Non",80
"879","Oui","0","Non",80
"895","Oui","0","Oui",219
"896","Oui","0","Non",219
"898","Oui","0","Non",219
"899","Oui","0","Oui",219
"900","Oui","0","Non",219
"901","Oui","0","Non",219
"902","Oui","0","Non",219
"903","Oui","0","Non",219
"906","Oui","1","Non",219
"907","Non","0","Oui",219
"910","Oui","0","Oui",219
"911","Oui","0","Oui",219
"912","Oui","0","Non",219
"913","Oui","0","Non",219
"915","Oui","0","Non",219
"919","Oui","0","Non",219
"920","Non","0","Non",219
"921","Oui","0","Non",219
"922","Oui","2","Oui",219
"923","Oui","0","Non",219
"924","Oui","0","Non",219
"927","Oui","0","Non",219
"928","Oui","0","Oui",219
"929","Oui","0","Non",219
"930","Oui","0","Non",219
"931","Oui","0","Non",219
"932","Oui","0","Non",219
"933","Oui","1","Non",219
"936","Oui","0","Non",219
"937","Oui","1","Non",219
"939","Oui","0","Non",219
"940","Oui","0","Non",219
"941","Oui","0","Non",219
"942","Oui","0","Non",219
"944","Oui","0","Non",219
"946","Oui","0","Non",219
"947","Oui","0","Non",219
"949","Oui","0","Oui",219
"950","Oui","0","Non",219
"952","Oui","1","Non",219
"953","Oui","0","Non",219
"954","Oui","0","Non",219
"955","Oui","1","Oui",219
"956","Oui","0","Non",219
"957","Oui","2","Oui",219
"958","Oui","1","Non",219
"960","Oui","0","Non",219
"961","Oui","0","Non",219
"962","Oui","0","Non",219
"963","Oui","0","Non",219
"966","Oui","0","Non",219
"967","Oui","0","Oui",219
"969","Non","1","Non",219
"971","Oui","0","Non",219
"972","Oui","0","Non",219
"974","Oui","0","Non",219
"976","Oui","2","Oui",219
"977","Oui","0","Non",219
"978","Oui","0","Non",219
"979","Oui","0","Non",219
"981","Non","0","Non",219
"982","Non","0","Non",219
"984","Oui","0","Non",219
"986","Oui","0","Non",219
"987","Non","0","Oui",219
"988","Oui","0","Non",219
"989","Oui","0","Non",219
"990","Oui","0","Non",219
"991","Oui","1","Oui",219
"993","Oui","2","Oui",219
"994","Oui","0","Non",219
"995","Oui","0","Non",219
"999","Oui","2","Oui",219
"1000","Oui","0","Non",219
"1001","Non","0","Non",219
"1002","Oui","0","Non",219
"1003","Oui","0","Non",219
"1004","Oui","0","Non",219
"1006","Oui","1","Oui",219
"1007","Non","1","Non",219
"1008","Oui","0","Non",219
"1009","Oui","0","Non",219
"1010","Oui","0","Non",219
"1013","Oui","0","Non",219
"1014","Oui","0","Oui",219
"1015","Oui","0","Non",219
"1016","Oui","0","Non",219
"1018","Oui","1","Non",219
"1019","Oui","0","Non",219
"1020","Oui","0","Non",219
"1021","Oui","0","Non",219
"1022","Oui","0","Non",219
"1023","Oui","0","Non",219
"1024","Oui","0","Non",219
"1025","Non","0","Non",219
"1026","Oui","0","Non",219
"1028","Oui","2","Non",219
"1029","Oui","1","Non",219
"1031","Oui","0","Oui",219
"1036","Non","0","Non",219
"1037","Oui","0","Non",219
"1038","Non","0","Non",219
"1040","Oui","1","Non",219
"1041","Oui","0","Non",219
"1042","Oui","0","Non",219
"1044","Oui","0","Oui",219
"1045","Oui","0","Non",219
"1048","Oui","1","Non",219
"1049","Oui","0","Non",219
"1050","Oui","0","Non",219
"1051","Oui","0","Non",219
"1052","Oui","0","Non",219
"1053","Non","2","Non",219
"1054","Oui","0","Non",219
"1056","Oui","0","Non",219
"1057","Oui","0","Non",219
"1061","Oui","1","Oui",219
"1063","Oui","0","Non",219
"1064","Oui","0","Non",219
"1065","Oui","0","Non",219
"1066","Oui","1","Oui",219
"1067","Oui","1","Non",219
"1068","Oui","0","Non",219
"1070","Non","0","Non",219
"1071","Oui","0","Non",219
"1072","Oui","0","Non",219
"1074","Non","0","Non",219
"1076","Oui","0","Non",219
"1077","Oui","0","Oui",219
"1078","Oui","2","Oui",219
